Time,Message,PnL
07 Aug 11:54,Trailing Stop raised to 19.54% (High PnL: 0.46%),
07 Aug 11:55,Trailing Stop raised to 18.94% (High PnL: 1.06%),
07 Aug 11:59,Trailing Stop raised to 18.45% (High PnL: 1.55%),
07 Aug 12:32,Regime shifted to SIDEWAYS,
07 Aug 12:32,Closed DIRECTIONAL (buy CE) due to Smart Exit (Regime Shift),-916.4999999999867
07 Aug 13:51,Regime shifted to DIRECTIONAL,
07 Aug 13:51,Entered DIRECTIONAL (buy CE) - Capital Used: ₹105261.00,
07 Aug 13:52,Trailing Stop raised to 19.89% (High PnL: 0.11%),
07 Aug 14:01,Regime shifted to SIDEWAYS,
07 Aug 14:01,Closed DIRECTIONAL (buy CE) due to Smart Exit (Regime Shift),-1813.4999999999911
07 Aug 14:13,Regime shifted to DIRECTIONAL,
07 Aug 14:13,Entered DIRECTIONAL (buy CE) - Capital Used: ₹107172.00,
07 Aug 14:14,Trailing Stop raised to 20.00% (High PnL: 0.00%),
07 Aug 14:15,Trailing Stop raised to 19.93% (High PnL: 0.07%),
07 Aug 14:16,Trailing Stop raised to 18.29% (High PnL: 1.71%),
07 Aug 14:17,Trailing Stop raised to 18.20% (High PnL: 1.80%),
07 Aug 14:21,Regime shifted to SIDEWAYS,
07 Aug 14:21,Closed DIRECTIONAL (buy CE) due to Smart Exit (Regime Shift),1442.9999999999955
07 Aug 14:23,Regime shifted to DIRECTIONAL,
07 Aug 14:23,Entered DIRECTIONAL (buy CE) - Capital Used: ₹108576.00,
07 Aug 14:24,Regime shifted to SIDEWAYS,
07 Aug 14:24,Closed DIRECTIONAL (buy CE) due to Smart Exit (Regime Shift),565.5000000000177
10 Aug 09:16,Regime shifted to VOLATILE,
10 Aug 09:20,Entered VOLATILE (buy Straddle) - Capital Used: ₹93034.50,
10 Aug 09:23,Regime shifted to DIRECTIONAL,
10 Aug 09:23,Closed VOLATILE (buy Straddle) due to Smart Exit (Regime Shift),585.0
10 Aug 09:31,Entered DIRECTIONAL (buy PE) - Capital Used: ₹105768.00,
10 Aug 09:32,Trailing Stop raised to 19.98% (High PnL: 0.02%),
10 Aug 09:33,Trailing Stop raised to 18.89% (High PnL: 1.11%),
10 Aug 09:34,Trailing Stop raised to 17.69% (High PnL: 2.31%),
10 Aug 09:35,Trailing Stop raised to 15.13% (High PnL: 4.87%),
10 Aug 09:42,Trailing Stop raised to 14.69% (High PnL: 5.31%),
10 Aug 09:56,Regime shifted to SIDEWAYS,
10 Aug 09:56,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),2911.9999999999973
10 Aug 10:21,Regime shifted to DIRECTIONAL,
10 Aug 10:21,Entered DIRECTIONAL (buy PE) - Capital Used: ₹108576.00,
10 Aug 10:22,Trailing Stop raised to 20.00% (High PnL: 0.00%),
10 Aug 10:58,Regime shifted to SIDEWAYS,
10 Aug 10:58,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-4602.000000000012
10 Aug 12:18,Regime shifted to DIRECTIONAL,
10 Aug 12:18,Entered DIRECTIONAL (buy PE) - Capital Used: ₹109541.25,
10 Aug 12:19,Trailing Stop raised to 19.60% (High PnL: 0.40%),
10 Aug 12:20,Trailing Stop raised to 19.33% (High PnL: 0.67%),
10 Aug 12:21,Regime shifted to SIDEWAYS,
10 Aug 12:21,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),965.2500000000033
10 Aug 12:56,Regime shifted to DIRECTIONAL,
10 Aug 12:56,Entered DIRECTIONAL (buy PE) - Capital Used: ₹113958.00,
10 Aug 12:57,Trailing Stop raised to 20.00% (High PnL: 0.00%),
10 Aug 13:00,Trailing Stop raised to 19.92% (High PnL: 0.08%),
10 Aug 13:01,Trailing Stop raised to 19.13% (High PnL: 0.87%),
10 Aug 13:10,Trailing Stop raised to 18.82% (High PnL: 1.18%),
10 Aug 13:13,Trailing Stop raised to 18.59% (High PnL: 1.41%),
10 Aug 13:20,Regime shifted to SIDEWAYS,
10 Aug 13:20,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),672.7499999999867
10 Aug 13:45,Regime shifted to DIRECTIONAL,
10 Aug 13:45,Entered DIRECTIONAL (buy PE) - Capital Used: ₹108400.50,
10 Aug 13:46,Trailing Stop raised to 18.81% (High PnL: 1.19%),
10 Aug 13:47,Regime shifted to SIDEWAYS,
10 Aug 13:47,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),2193.75
10 Aug 14:05,Regime shifted to DIRECTIONAL,
10 Aug 14:05,Entered DIRECTIONAL (buy PE) - Capital Used: ₹111384.00,
10 Aug 14:06,Regime shifted to SIDEWAYS,
10 Aug 14:06,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-1287.00000000001
10 Aug 14:39,Regime shifted to DIRECTIONAL,
10 Aug 14:39,Entered DIRECTIONAL (buy PE) - Capital Used: ₹114790.00,
10 Aug 14:40,Trailing Stop raised to 20.00% (High PnL: 0.00%),
10 Aug 14:42,Trailing Stop raised to 19.43% (High PnL: 0.57%),
10 Aug 14:43,Trailing Stop raised to 18.87% (High PnL: 1.13%),
10 Aug 15:05,Regime shifted to SIDEWAYS,
10 Aug 15:05,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-3510.0000000000036
11 Aug 09:15,Regime shifted to VOLATILE,
11 Aug 09:20,Entered VOLATILE (buy Straddle) - Capital Used: ₹87155.25,
11 Aug 09:21,Regime shifted to SIDEWAYS,
11 Aug 09:21,Closed VOLATILE (buy Straddle) due to Smart Exit (Regime Shift),77.99999999999557
11 Aug 09:23,Regime shifted to DIRECTIONAL,
11 Aug 09:37,Entered DIRECTIONAL (buy PE) - Capital Used: ₹104442.00,
11 Aug 09:38,Trailing Stop raised to 20.00% (High PnL: 0.00%),
11 Aug 09:39,Trailing Stop raised to 19.98% (High PnL: 0.02%),
11 Aug 09:40,Trailing Stop raised to 19.93% (High PnL: 0.07%),
11 Aug 09:42,Trailing Stop raised to 19.15% (High PnL: 0.85%),
11 Aug 09:43,Trailing Stop raised to 18.95% (High PnL: 1.05%),
11 Aug 09:46,Trailing Stop raised to 18.31% (High PnL: 1.69%),
11 Aug 09:47,Trailing Stop raised to 17.66% (High PnL: 2.34%),
11 Aug 10:01,Regime shifted to SIDEWAYS,
11 Aug 10:01,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-3431.9999999999973
11 Aug 11:09,Regime shifted to DIRECTIONAL,
11 Aug 11:09,Entered DIRECTIONAL (buy PE) - Capital Used: ₹109892.25,
11 Aug 11:10,Trailing Stop raised to 20.00% (High PnL: 0.00%),
11 Aug 11:22,Regime shifted to SIDEWAYS,
11 Aug 11:22,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-1813.4999999999966
11 Aug 11:27,Regime shifted to DIRECTIONAL,
11 Aug 11:27,Entered DIRECTIONAL (buy PE) - Capital Used: ₹109131.75,
11 Aug 11:28,Trailing Stop raised to 20.00% (High PnL: 0.00%),
11 Aug 11:29,Trailing Stop raised to 19.44% (High PnL: 0.56%),
11 Aug 11:30,Trailing Stop raised to 19.30% (High PnL: 0.70%),
11 Aug 11:31,Trailing Stop raised to 19.09% (High PnL: 0.91%),
11 Aug 11:32,Trailing Stop raised to 18.90% (High PnL: 1.10%),
11 Aug 11:35,Regime shifted to SIDEWAYS,
11 Aug 11:35,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),877.5
11 Aug 12:49,Regime shifted to DIRECTIONAL,
11 Aug 12:49,Entered DIRECTIONAL (buy PE) - Capital Used: ₹102287.25,
11 Aug 12:50,Trailing Stop raised to 20.00% (High PnL: 0.00%),
11 Aug 12:51,Trailing Stop raised to 18.94% (High PnL: 1.06%),
11 Aug 12:52,Trailing Stop raised to 17.74% (High PnL: 2.26%),
11 Aug 12:55,Trailing Stop raised to 17.20% (High PnL: 2.80%),
11 Aug 12:56,Regime shifted to SIDEWAYS,
11 Aug 12:56,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),3012.750000000003
11 Aug 13:07,Regime shifted to DIRECTIONAL,
11 Aug 13:07,Entered DIRECTIONAL (buy PE) - Capital Used: ₹111215.00,
11 Aug 13:08,Trailing Stop raised to 20.00% (High PnL: 0.00%),
11 Aug 13:10,Trailing Stop raised to 19.47% (High PnL: 0.53%),
11 Aug 13:11,Trailing Stop raised to 18.19% (High PnL: 1.81%),
11 Aug 13:12,Trailing Stop raised to 17.37% (High PnL: 2.63%),
11 Aug 13:16,Regime shifted to SIDEWAYS,
11 Aug 13:16,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),3510.0000000000036
11 Aug 14:58,Regime shifted to DIRECTIONAL,
11 Aug 14:58,Entered DIRECTIONAL (buy PE) - Capital Used: ₹118010.75,
11 Aug 14:59,Trailing Stop raised to 20.00% (High PnL: 0.00%),
11 Aug 15:09,Regime shifted to SIDEWAYS,
11 Aug 15:09,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),71.49999999999594
12 Aug 09:16,Regime shifted to VOLATILE,
12 Aug 09:20,Entered VOLATILE (buy Straddle) - Capital Used: ₹107965.00,
12 Aug 09:23,Regime shifted to SIDEWAYS,
12 Aug 09:23,Closed VOLATILE (buy Straddle) due to Smart Exit (Regime Shift),-117.00000000000443
12 Aug 09:53,Regime shifted to DIRECTIONAL,
12 Aug 09:53,Entered DIRECTIONAL (buy CE) - Capital Used: ₹112680.75,
12 Aug 09:54,Trailing Stop raised to 20.00% (High PnL: 0.00%),
12 Aug 10:26,Regime shifted to SIDEWAYS,
12 Aug 10:26,Closed DIRECTIONAL (buy CE) due to Smart Exit (Regime Shift),-9691.500000000005
12 Aug 10:48,Regime shifted to DIRECTIONAL,
12 Aug 10:48,Entered DIRECTIONAL (buy CE) - Capital Used: ₹96135.00,
12 Aug 10:49,Trailing Stop raised to 18.97% (High PnL: 1.03%),
12 Aug 10:54,Trailing Stop raised to 18.11% (High PnL: 1.89%),
12 Aug 11:46,Regime shifted to SIDEWAYS,
12 Aug 11:46,Closed DIRECTIONAL (buy CE) due to Smart Exit (Regime Shift),-9983.999999999998
12 Aug 11:59,Regime shifted to DIRECTIONAL,
12 Aug 11:59,Entered DIRECTIONAL (buy CE) - Capital Used: ₹95082.00,
12 Aug 12:00,Trailing Stop raised to 20.00% (High PnL: 0.00%),
