Time,Message,PnL
21 Aug 10:57,Trailing Stop moved to -0.33% (High PnL: 5.33%),
21 Aug 11:04,Regime shifted to SIDEWAYS,
21 Aug 11:04,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),276477.5
21 Aug 11:05,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹32890000.00,
21 Aug 12:04,Regime shifted to DIRECTIONAL,
21 Aug 12:04,Closed SIDEWAYS (sell Straddle) due to Smart Exit (Regime Shift),126626.49999999993
21 Aug 12:05,Entered DIRECTIONAL (buy PE) - Capital Used: ₹35648028.00,
21 Aug 12:06,Trailing Stop moved to 1.68% (High PnL: 3.32%),
21 Aug 12:07,Trailing Stop moved to 0.18% (High PnL: 4.82%),
21 Aug 12:08,Trailing Stop moved to -0.13% (High PnL: 5.13%),
21 Aug 12:09,Trailing Stop moved to -0.92% (High PnL: 5.92%),
21 Aug 12:14,Trailing Stop moved to -4.00% (High PnL: 9.00%),
21 Aug 12:16,Trailing Stop moved to -5.35% (High PnL: 10.35%),
21 Aug 12:19,Closed DIRECTIONAL (buy PE) due to Trailing Stop Hit,1238952.0000000016
21 Aug 12:20,Entered DIRECTIONAL (buy PE) - Capital Used: ₹36764650.00,
21 Aug 12:21,Trailing Stop moved to 5.00% (High PnL: 0.00%),
21 Aug 12:24,Trailing Stop moved to 4.31% (High PnL: 0.69%),
21 Aug 12:25,Regime shifted to SIDEWAYS,
